"osm_id","timestamp","name","type"
"309894643","","????????","restaurant"
"411006922","","?????????","restaurant"
"429175192","","??????","restaurant"
"445422613","","Hunter?s Lodge ?Kamnik?","restaurant"
"459668143","","??? ????","restaurant"
"459668914","","??? ????","restaurant"
"459669063","","????? ?? ?????","restaurant"
"481098096","","??????","restaurant"
"577538782","","Prince","restaurant"
"600905655","","??? ?????","restaurant"
"696669231","","??","restaurant"
"908273433","","??p?c?","restaurant"
"1092272132","","","restaurant"
"1132688809","","River Side","restaurant"
"1371716593","","?????","restaurant"
"1372568001","","????","restaurant"
"1377184494","","??????? ??????","restaurant"
"1378130151","","?????","restaurant"
"1378130158","","","restaurant"
"1378228324","","???????? ??????","restaurant"
"1378228333","","???????? ???","restaurant"
"1380378665","","?????????","restaurant"
"1380378702","","?????","restaurant"
"1475328750","","Restoran Tomi","restaurant"
"1475384945","","","restaurant"
"1475388232","","Meraklii","restaurant"
"1475404511","","","restaurant"
"1535266560","","???????? ?????? 919","restaurant"
"1577483516","","????? ????","restaurant"
"1577485951","","62","restaurant"
"1676857177","","????? ???????? ????? (????","restaurant"
"1734513473","","","restaurant"
"1734513478","","","restaurant"
"1734530400","","","restaurant"
"1747649203","","?????","restaurant"
"1748017584","","Marana","restaurant"
"1751563134","","Pastel Wine & Dine","restaurant"
"1752178268","","511","restaurant"
"1752186795","","?????","restaurant"
"1770866402","","???????? ????????","restaurant"
"1848409293","","?????????","restaurant"
"1850422186","","","restaurant"
"1850489869","","???????? ????????????","restaurant"
"1850521527","","??????","restaurant"
"1857486052","","???? - ?????","restaurant"
"1860123667","","","restaurant"
"1867176020","","?????","restaurant"
"1868812117","","??????","restaurant"
"1868812169","","??? ??????","restaurant"
"1868933572","","?????","restaurant"
"1985948203","","Balila","restaurant"
"1999633538","","?????? - ???????","restaurant"
"2105387352","","??????????","restaurant"
"-2135431445","","???? ?????","restaurant"
"-2000647171","","??? ?????","restaurant"
"-1972080423","","????????","restaurant"
"-1970677143","","????? ???","restaurant"
"-1961803653","","????? ?????","restaurant"
"-1960543890","","??????????? ???????","restaurant"
"-1883637609","","???","restaurant"
"-1714775152","","???????","restaurant"
"-1476094409","","??????","restaurant"
"-1411089400","","Every Day","restaurant"
"-1274090950","","????? ????","restaurant"
"-1193241256","","??????? ??","restaurant"
"-953677507","","Damaskino","restaurant"
"-879962539","","","restaurant"
"-810866912","","Dal Fufo - Galija","restaurant"
"-789953403","","Destan","restaurant"
"-789953303","","?? ??????","restaurant"
"-788272203","","Brooklyn Lounge Bar","restaurant"
"-758787719","","??????????","restaurant"
"-695563730","","??? ????????","restaurant"
"-646252811","","????????","restaurant"
"-587876373","","????? ??? ????","restaurant"
"-464511564","","Pizza Amica","restaurant"
"-462492161","","?????","restaurant"
"-462492149","","??? ?????","restaurant"
"-385901077","","??? ?????","restaurant"
"-362933708","","Ribimiluss","restaurant"
"-343147710","","??????","restaurant"
"-290322190","","?????? ??????","restaurant"
"-278410019","","Campione lounge Bar","restaurant"
"-278410018","","DejaVu Lounge","restaurant"
"-193859306","","Makedonska sofra","restaurant"
"-168235331","","Sky ??????????","restaurant"
"-145477007","","Amigos ??????????? ???????","restaurant"
"-99234079","","???? ?????","restaurant"
"-55913657","","Beta","restaurant"
"-41756969","","?????? ??????","restaurant"
"-19124101","","?????","restaurant"
"7243994","","????","restaurant"
"23433000","","?????? ???????","restaurant"
"32954022","","Thong Thai","restaurant"
"51575543","","Lounge Bar & Restaurant ""Square 21""","restaurant"
"60708310","","???????? ???????","restaurant"
"91359035","","?????","restaurant"
"111565559","","???? ???????","restaurant"
"112403198","","???????????","restaurant"
"141550895","","Kaj Serdarot","restaurant"
"141566993","","Destan","restaurant"
"141567193","","????????? ?????","restaurant"
"164611673","","?????","restaurant"
"176917034","","Four","restaurant"
"186695270","","????","restaurant"
"196177274","","????","restaurant"
"236715093","","?????????? ????","restaurant"
"257117010","","??? ???? ?? ????","restaurant"
"355575596","","?????????? ?????","restaurant"
"355658293","","???????? ?????????","restaurant"
"425736697","","Dojrana Skopje","restaurant"
"461361336","","GastrotecaSiesta","restaurant"
"543719326","","Bonimi","restaurant"
"625995251","","Domino's","restaurant"
"640327630","","","restaurant"
"681367626","","?'?? ?? ???","restaurant"
"687265425","","","restaurant"
"695174842","","??????","restaurant"
"724790725","","????","restaurant"
"738140957","","???????","restaurant"
"769733025","","??????","restaurant"
"777429796","","???????? ????????","restaurant"
"779248787","","Er & Bi","restaurant"
"806653825","","","restaurant"
"836865645","","7 ????? ????????","restaurant"
"865646426","","???? ???","restaurant"
"889759829","","Ubac","restaurant"
"929256825","","Gostilnica Gurman","restaurant"
"951251907","","???? ????","restaurant"
"973733074","","Pizza Jakomo","restaurant"
"994739265","","Star Ocean","restaurant"
"997163552","","Fitness house","restaurant"
"1172917416","","Segreto Plus","restaurant"
"1253841925","","??? ????????","restaurant"
"1266724783","","????????","restaurant"
"1277086025","","????? ?????","restaurant"
"1329703670","","??? ???? ???","restaurant"
"1329715059","","?????????","restaurant"
"1329715060","","?????????","restaurant"
"1329715061","","????? ?????","restaurant"
"1329715062","","????????","restaurant"
"1331465224","","???????","restaurant"
"1331466135","","?????","restaurant"
"1331466161","","Zing","restaurant"
"1331466184","","????? ?????","restaurant"
"1331466206","","??? ????","restaurant"
"1397641384","","Gostilnica Estel","restaurant"
"1475459878","","Aleksandrija","restaurant"
"1494481757","","?????? ?????","restaurant"
"1512782754","","","restaurant"
"1518449958","","?????? ""????? ?????""","restaurant"
"1535267570","","Fish Grill (Macedonian Cave Restaurant)","restaurant"
"1545516791","","????","restaurant"
"1669799990","","","restaurant"
"1737897990","","P?ela","restaurant"
"1759081190","","","restaurant"
"1759081203","","","restaurant"
"1759081400","","","restaurant"
"1759081404","","","restaurant"
"1759082790","","","restaurant"
"1759082803","","????????","restaurant"
"1759083490","","","restaurant"
"1807521568","","Restoran Frosina","restaurant"
"1850468684","","","restaurant"
"1973720089","","Gala Kujna","restaurant"
"1980219999","","EZO","restaurant"
"1983504473","","????? ? ????? ???????","restaurant"
"2090599689","","","restaurant"
"2091367940","","Kaj ????","restaurant"
"2110296889","","???????? ""????""","restaurant"
"-2074938207","","","restaurant"
"-2003242770","","La Pizza","restaurant"
"-1808598705","","Kebap?ilinica Rio","restaurant"
"-1808597507","","","restaurant"
"-1800957146","","Vega","restaurant"
"-1793498504","","???????","restaurant"
"-1775702904","","Tako mako","restaurant"
"-1775702892","","Ohrid","restaurant"
"-1775702890","","Markt kitchen","restaurant"
"-1775702799","","Sac","restaurant"
"-1775698005","","Skopsko","restaurant"
"-1775697971","","Palas","restaurant"
"-1775689003","","Schpajs","restaurant"
"-1775687901","","Don Giovanni","restaurant"
"-1775687868","","Concept","restaurant"
"-1774499906","","","restaurant"
"-1774499903","","","restaurant"
"-1774499901","","?????? ???","restaurant"
"-1774499900","","","restaurant"
"-1774479807","","?????","restaurant"
"-1774016206","","Mosh","restaurant"
"-1774003200","","Metzka","restaurant"
"-1768776004","","Davidoff","restaurant"
"-1768775607","","Amigos","restaurant"
"-1762901861","","Pizzeria Bik","restaurant"
"-1762901859","","Old Balkan","restaurant"
"-1762858406","","Kursumli An","restaurant"
"-1759392406","","Kaj chme","restaurant"
"-1588579907","","???? ???????????","restaurant"
"-1562704907","","???????? ????????","restaurant"
"-1496763107","","??? ?????? ????????? 2.0","restaurant"
"-1459004760","","??????????","restaurant"
"-1353242804","","","restaurant"
